phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
stream,encrypted,true,8388608,random,0,606.328,25251.700,28605.524,8659328
stream,plain,true,8388608,random,0,398.345,14831.354,18491.881,8659328
whole,encrypted-signed,false,8388608,random,0,1232.296,33084.302,38148.978,8673664
stream,signed,true,8388608,random,0,21745.844,4813.573,28749.365,8669568
stream,encrypted,false,8388608,random,0,410.046,17844.283,22027.338,8659328
whole,encrypted-signed,true,8388608,random,0,1220.406,32899.680,38887.098,8669568
whole,signed,true,8388608,random,0,20881.423,15078.287,40047.683,8669568
range,encrypted,true,8388608,random,0,260.963,14963.466,18470.781,8659328
whole,plain,false,8388608,random,0,380.445,26620.327,31117.316,8659328
range,encrypted,false,8388608,random,0,250.133,15049.567,18635.223,8659328
range,encrypted-signed,true,8388608,random,0,1047.414,14615.591,18906.507,8669568
whole,signed,false,8388608,random,0,21967.657,14874.684,40424.048,8673664
range,encrypted-signed,false,8388608,random,0,1026.963,13121.852,17353.596,8673664
range,plain,false,8388608,random,0,205.323,9992.620,11831.535,8659328
range,signed,false,8388608,random,0,16519.606,1074.984,19805.839,8673664
stream,encrypted-signed,true,8388608,random,0,1109.484,16766.580,21670.483,8669568
stream,signed,false,8388608,random,0,20542.678,4813.323,27524.229,8673664
whole,encrypted,false,8388608,random,0,233.033,26782.790,31629.523,8659328
whole,plain,true,8388608,random,0,241.733,25678.676,29919.961,8659328
range,plain,true,8388608,random,0,246.004,9970.340,11829.165,8659328
stream,plain,false,8388608,random,0,226.593,11264.247,13642.578,8659328
stream,encrypted-signed,false,8388608,random,0,1036.534,16749.139,21570.002,8673664
range,signed,true,8388608,random,0,20535.468,1059.394,23724.030,8669568
whole,encrypted,true,8388608,random,0,253.554,26782.279,31587.613,8659328
range,signed,true,8388608,random,1,20414.776,1055.364,23609.778,8669568
range,encrypted-signed,true,8388608,random,1,1054.574,10558.318,14920.535,8669568
stream,plain,false,8388608,random,1,225.123,15379.471,17776.112,8659328
stream,plain,true,8388608,random,1,251.113,11056.935,13466.006,8659328
range,signed,false,8388608,random,1,16271.863,1060.504,19514.476,8673664
range,plain,true,8388608,random,1,259.814,5947.587,7835.593,8659328
range,encrypted,false,8388608,random,1,251.474,10753.230,14264.687,8659328
whole,encrypted,true,8388608,random,1,247.114,30878.723,35635.826,8659328
stream,encrypted,true,8388608,random,1,257.783,20823.732,24879.315,8659328
whole,encrypted-signed,true,8388608,random,1,1058.834,30932.194,36502.357,8669568
whole,plain,false,8388608,random,1,219.343,25509.074,29726.059,8659328
whole,signed,true,8388608,random,1,20273.285,15231.749,39588.488,8669568
range,encrypted,true,8388608,random,1,255.494,14786.263,18257.489,8659328
whole,encrypted-signed,false,8388608,random,1,1010.353,31296.499,36849.941,8673664
stream,signed,true,8388608,random,1,20768.301,4920.135,27853.114,8669568
