phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
write,encrypted-signed,false,8388608,random,0,0.000,0.000,143400.452,8673664
write,plain,true,8388608,random,0,0.000,0.000,146303.459,8659328
write,encrypted,false,8388608,random,0,0.000,0.000,135822.673,8659328
write,plain,false,8388608,random,0,0.000,0.000,129123.366,8659328
write,signed,false,8388608,random,0,0.000,0.000,139843.535,8673664
write,signed,true,8388608,random,0,0.000,0.000,137681.758,8669568
write,encrypted-signed,true,8388608,random,0,0.000,0.000,146078.127,8669568
write,encrypted,true,8388608,random,0,0.000,0.000,131820.992,8659328
write,encrypted-signed,true,8388608,random,1,0.000,0.000,136143.398,8669568
write,signed,false,8388608,random,1,0.000,0.000,168359.186,8673664
write,encrypted-signed,false,8388608,random,1,0.000,0.000,132587.902,8673664
write,plain,true,8388608,random,1,0.000,0.000,542882.871,8659328
write,encrypted,false,8388608,random,1,0.000,0.000,171400.626,8659328
write,signed,true,8388608,random,1,0.000,0.000,139248.018,8669568
write,plain,false,8388608,random,1,0.000,0.000,133805.458,8659328
write,encrypted,true,8388608,random,1,0.000,0.000,130717.948,8659328
write,signed,false,8388608,random,2,0.000,0.000,141318.215,8673664
write,plain,false,8388608,random,2,0.000,0.000,154826.491,8659328
write,encrypted-signed,false,8388608,random,2,0.000,0.000,133399.343,8673664
write,plain,true,8388608,random,2,0.000,0.000,126532.624,8659328
write,encrypted,true,8388608,random,2,0.000,0.000,123086.759,8659328
write,encrypted,false,8388608,random,2,0.000,0.000,130317.234,8659328
write,signed,true,8388608,random,2,0.000,0.000,152245.368,8669568
write,encrypted-signed,true,8388608,random,2,0.000,0.000,127130.332,8669568
