case,metric,main_us,branch_us,paired_change_pct,low95_pct,high95_pct,pairs
encrypted-signed/false/range,open,882.143,920.424,3.889,-0.949,5.807,15
encrypted-signed/false/range,read,16.220,15.790,-1.480,-6.237,1.782,15
encrypted-signed/false/range,total,910.554,944.985,3.419,-1.343,5.290,15
encrypted-signed/false/stream,open,889.634,921.984,3.479,2.185,5.188,15
encrypted-signed/false/stream,read,32.971,32.270,-2.116,-2.863,-0.418,15
encrypted-signed/false/stream,total,934.605,963.565,2.929,1.868,4.413,15
encrypted-signed/false/stream-content,open,888.714,922.364,4.643,2.890,5.251,15
encrypted-signed/false/stream-content,read,33.181,32.671,-0.890,-1.693,-0.057,15
encrypted-signed/false/stream-content,total,934.815,964.075,3.690,2.309,4.723,15
encrypted-signed/false/whole,open,889.754,916.595,3.000,-0.579,4.345,15
encrypted-signed/false/whole,read,16.230,15.770,-2.307,-5.200,-0.433,15
encrypted-signed/false/whole,total,920.944,943.074,2.366,-1.130,3.768,15
encrypted-signed/true/range,open,908.274,937.774,3.338,2.272,5.405,15
encrypted-signed/true/range,read,16.630,16.221,-1.085,-2.782,-0.115,15
encrypted-signed/true/range,total,937.805,963.455,2.918,2.203,4.962,15
encrypted-signed/true/stream,open,911.124,939.094,3.879,0.124,5.849,15
encrypted-signed/true/stream,read,33.681,32.940,-1.509,-3.435,0.483,15
encrypted-signed/true/stream,total,957.224,981.365,3.181,-0.442,4.654,15
encrypted-signed/true/stream-content,open,914.824,942.875,3.121,1.148,4.841,15
encrypted-signed/true/stream-content,read,33.820,33.211,-1.861,-3.192,-0.836,15
encrypted-signed/true/stream-content,total,961.095,985.265,2.778,0.334,4.294,15
encrypted-signed/true/whole,open,908.104,940.564,3.479,2.232,5.763,15
encrypted-signed/true/whole,read,16.630,16.300,-1.686,-4.384,0.486,15
encrypted-signed/true/whole,total,937.245,965.645,2.941,1.783,5.150,15
encrypted/false/range,open,156.392,150.532,-4.285,-6.635,1.689,15
