files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip,zip_open_ms,zip_read_ms,lockbox_open_ms,lockbox_read_ms,zip_bytes,lockbox_bytes,corpus
4,8388608,false,plain,Interactive,stream,8.578,49.277,5.745,0.049,8.523,0.159,41.041,33554878,33570112,pattern
4,8388608,false,plain,Interactive,random,8.573,56.455,6.585,0.048,8.522,0.155,46.591,33554878,33570112,pattern
4,8388608,false,plain,Interactive,range,0.109,52.938,486.960,0.036,0.068,0.155,43.294,33554878,33570112,pattern
4,8388608,false,plain,ReadMostly,stream,8.529,69.890,8.194,0.047,8.479,0.150,51.986,33554878,33570112,pattern
4,8388608,false,plain,ReadMostly,random,8.549,48.398,5.661,0.047,8.496,0.155,40.209,33554878,33570112,pattern
4,8388608,false,plain,ReadMostly,range,0.105,45.955,436.995,0.035,0.068,0.155,37.754,33554878,33570112,pattern
4,8388608,true,plain,Interactive,stream,7.622,11.742,1.541,0.047,7.566,0.135,11.507,436588,182592,pattern
4,8388608,true,plain,Interactive,random,7.421,19.650,2.648,0.059,7.366,0.136,19.426,436588,182592,pattern
4,8388608,true,plain,Interactive,range,9.465,17.305,1.828,0.040,9.424,0.103,17.151,436588,182592,pattern
4,8388608,true,plain,ReadMostly,stream,7.408,21.001,2.835,0.049,7.355,0.182,12.560,436588,182592,pattern
4,8388608,true,plain,ReadMostly,random,7.391,29.064,3.933,0.050,7.335,0.179,20.734,436588,182592,pattern
4,8388608,true,plain,ReadMostly,range,9.344,27.065,2.897,0.040,9.302,0.182,18.775,436588,182592,pattern
