files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip,zip_open_ms,zip_read_ms,lockbox_open_ms,lockbox_read_ms,zip_bytes,lockbox_bytes,corpus
4,8388608,false,plain,Interactive,stream,8.959,55.984,6.249,0.052,8.900,0.152,46.281,33554878,33570112,random
4,8388608,false,plain,Interactive,random,8.900,57.070,6.413,0.049,8.846,0.146,47.066,33554878,33570112,random
4,8388608,false,plain,Interactive,range,0.116,54.641,472.786,0.038,0.077,0.153,44.632,33554878,33570112,random
4,8388608,false,plain,ReadMostly,stream,8.904,68.751,7.721,0.049,8.853,0.149,50.889,33554878,33570112,random
4,8388608,false,plain,ReadMostly,random,8.887,48.508,5.458,0.050,8.832,0.159,40.271,33554878,33570112,random
4,8388608,false,plain,ReadMostly,range,0.119,46.063,387.269,0.038,0.077,0.156,37.876,33554878,33570112,random
4,8388608,true,plain,Interactive,stream,17.799,49.830,2.800,0.051,17.744,0.190,41.535,33565138,33569088,random
4,8388608,true,plain,Interactive,random,17.092,47.593,2.785,0.049,17.037,0.185,39.507,33565138,33569088,random
4,8388608,true,plain,Interactive,range,23.223,45.413,1.956,0.038,23.183,0.183,37.256,33565138,33569088,random
4,8388608,true,plain,ReadMostly,stream,17.574,68.729,3.911,0.050,17.520,0.178,51.860,33565138,33569088,random
4,8388608,true,plain,ReadMostly,random,17.268,48.112,2.786,0.048,17.215,0.184,39.924,33565138,33569088,random
4,8388608,true,plain,ReadMostly,range,26.758,46.031,1.720,0.049,26.685,0.186,37.842,33565138,33569088,random
