files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip,zip_open_ms,zip_read_ms,lockbox_open_ms,lockbox_read_ms,zip_bytes,lockbox_bytes,corpus
4,1048576,false,plain,Interactive,stream,0.944,6.122,6.485,0.034,0.908,0.109,4.928,4194750,4201792,pattern
4,1048576,false,plain,Interactive,random,0.977,5.679,5.814,0.035,0.939,0.083,4.606,4194750,4201792,pattern
4,1048576,false,plain,Interactive,range,0.102,5.456,53.377,0.034,0.066,0.076,4.392,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,stream,0.948,6.979,7.363,0.034,0.912,0.103,4.879,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,random,0.951,5.697,5.992,0.035,0.914,0.093,4.614,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,range,0.101,5.455,54.179,0.034,0.065,0.076,4.394,4194750,4201792,pattern
4,1048576,true,plain,Interactive,stream,0.881,1.633,1.854,0.035,0.844,0.088,1.533,56150,35136,pattern
4,1048576,true,plain,Interactive,random,0.882,2.628,2.979,0.035,0.843,0.084,2.529,56150,35136,pattern
4,1048576,true,plain,Interactive,range,1.275,2.493,1.956,0.034,1.238,0.084,2.393,56150,35136,pattern
4,1048576,true,plain,ReadMostly,stream,0.874,2.666,3.050,0.035,0.838,0.085,1.574,56150,35136,pattern
4,1048576,true,plain,ReadMostly,random,0.862,3.659,4.243,0.034,0.826,0.085,2.572,56150,35136,pattern
4,1048576,true,plain,ReadMostly,range,1.263,3.495,2.768,0.034,1.225,0.086,2.412,56150,35136,pattern
