files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip,zip_open_ms,zip_read_ms,lockbox_open_ms,lockbox_read_ms,zip_bytes,lockbox_bytes,corpus
512,4096,false,plain,Interactive,stream,6.180,4.071,0.659,2.828,3.318,0.524,2.920,2151446,2215232,pattern
512,4096,false,plain,Interactive,random,6.311,4.110,0.651,2.824,3.455,0.513,2.962,2151446,2215232,pattern
512,4096,false,plain,ReadMostly,stream,6.209,4.845,0.780,2.817,3.344,0.548,3.122,2151446,2215232,pattern
512,4096,false,plain,ReadMostly,random,6.356,4.106,0.646,2.835,3.480,0.517,2.951,2151446,2215232,pattern
512,4096,false,encrypted,Interactive,stream,6.147,5.196,0.845,2.815,3.307,0.551,4.004,2151446,2215232,pattern
512,4096,false,encrypted,Interactive,random,6.321,5.245,0.830,2.831,3.457,0.549,4.048,2151446,2215232,pattern
512,4096,false,encrypted,ReadMostly,stream,6.256,6.025,0.963,2.848,3.365,0.578,4.285,2151446,2215232,pattern
512,4096,false,encrypted,ReadMostly,random,6.363,5.158,0.811,2.854,3.503,0.539,3.988,2151446,2215232,pattern
512,4096,false,signed,Interactive,stream,6.171,7.736,1.253,2.823,3.314,5.485,1.622,2151446,2229568,pattern
512,4096,false,signed,Interactive,random,6.476,7.733,1.194,2.848,3.532,5.438,1.655,2151446,2229568,pattern
512,4096,false,signed,ReadMostly,stream,6.161,8.513,1.382,2.821,3.319,5.517,1.840,2151446,2229568,pattern
512,4096,false,signed,ReadMostly,random,6.340,7.747,1.222,2.836,3.475,5.451,1.658,2151446,2229568,pattern
512,4096,false,encrypted-signed,Interactive,stream,6.158,5.920,0.961,2.818,3.302,1.266,4.015,2151446,2229568,pattern
512,4096,false,encrypted-signed,Interactive,random,6.357,5.970,0.939,2.828,3.485,1.278,4.070,2151446,2229568,pattern
512,4096,false,encrypted-signed,ReadMostly,stream,6.234,6.671,1.070,2.818,3.356,1.284,4.223,2151446,2229568,pattern
512,4096,false,encrypted-signed,ReadMostly,random,6.322,5.881,0.930,2.818,3.474,1.259,3.986,2151446,2229568,pattern
4,1048576,false,plain,Interactive,stream,0.959,6.567,6.851,0.035,0.922,0.107,5.388,4194750,4201792,pattern
4,1048576,false,plain,Interactive,random,1.157,6.105,5.277,0.043,1.112,0.117,4.970,4194750,4201792,pattern
4,1048576,false,plain,Interactive,range,0.101,5.722,56.492,0.035,0.065,0.111,4.604,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,stream,0.974,6.994,7.184,0.036,0.936,0.095,4.883,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,random,0.960,5.842,6.084,0.038,0.923,0.091,4.734,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,range,0.117,5.533,47.381,0.036,0.069,0.083,4.444,4194750,4201792,pattern
4,1048576,false,encrypted,Interactive,stream,0.950,11.600,12.214,0.035,0.913,0.123,9.808,4194750,4201792,pattern
4,1048576,false,encrypted,Interactive,random,0.979,11.481,11.730,0.036,0.941,0.119,9.710,4194750,4201792,pattern
4,1048576,false,encrypted,Interactive,range,0.101,11.103,109.714,0.035,0.065,0.108,9.387,4194750,4201792,pattern
4,1048576,false,encrypted,ReadMostly,stream,0.957,12.675,13.248,0.035,0.921,0.130,9.891,4194750,4201792,pattern
4,1048576,false,encrypted,ReadMostly,random,0.959,11.470,11.955,0.039,0.923,0.123,9.697,4194750,4201792,pattern
4,1048576,false,encrypted,ReadMostly,range,0.101,11.097,109.951,0.035,0.065,0.108,9.377,4194750,4201792,pattern
4,1048576,false,signed,Interactive,stream,0.970,10.887,11.228,0.035,0.933,7.633,2.244,4194750,4216128,pattern
4,1048576,false,signed,Interactive,random,0.955,14.196,14.870,0.041,0.918,10.364,2.187,4194750,4216128,pattern
4,1048576,false,signed,Interactive,range,0.101,14.069,138.634,0.035,0.065,10.462,1.989,4194750,4216128,pattern
4,1048576,false,signed,ReadMostly,stream,0.952,15.992,16.804,0.035,0.915,10.466,2.789,4194750,4216128,pattern
4,1048576,false,signed,ReadMostly,random,0.952,14.256,14.979,0.035,0.915,10.438,2.193,4194750,4216128,pattern
4,1048576,false,signed,ReadMostly,range,0.101,13.901,137.583,0.035,0.065,10.331,1.978,4194750,4216128,pattern
4,1048576,false,encrypted-signed,Interactive,stream,1.014,14.106,13.912,0.042,0.972,0.875,11.188,4194750,4216128,pattern
4,1048576,false,encrypted-signed,Interactive,random,0.968,13.930,14.394,0.036,0.931,0.852,11.067,4194750,4216128,pattern
4,1048576,false,encrypted-signed,Interactive,range,0.102,13.781,135.415,0.035,0.066,0.857,10.912,4194750,4216128,pattern
4,1048576,false,encrypted-signed,ReadMostly,stream,0.975,15.328,15.723,0.036,0.938,0.874,11.430,4194750,4216128,pattern
4,1048576,false,encrypted-signed,ReadMostly,random,0.964,13.985,14.507,0.035,0.928,0.872,11.082,4194750,4216128,pattern
4,1048576,false,encrypted-signed,ReadMostly,range,0.103,13.569,131.217,0.035,0.067,0.849,10.772,4194750,4216128,pattern
512,4096,true,plain,Interactive,stream,6.757,3.255,0.482,2.794,3.930,0.650,2.423,237078,269632,pattern
512,4096,true,plain,Interactive,random,6.798,3.948,0.581,2.806,3.981,0.647,3.118,237078,269632,pattern
512,4096,true,plain,ReadMostly,stream,6.758,3.947,0.584,2.804,3.924,0.650,2.593,237078,269632,pattern
512,4096,true,plain,ReadMostly,random,6.778,4.656,0.687,2.785,3.959,0.658,3.285,237078,269632,pattern
512,4096,true,encrypted,Interactive,stream,6.710,3.406,0.508,2.776,3.909,0.675,2.549,237078,269632,pattern
512,4096,true,encrypted,Interactive,random,7.710,4.100,0.532,3.198,4.479,0.678,3.232,237078,269632,pattern
512,4096,true,encrypted,ReadMostly,stream,7.612,4.099,0.538,3.185,4.397,0.668,2.722,237078,269632,pattern
512,4096,true,encrypted,ReadMostly,random,7.770,4.862,0.626,3.211,4.522,0.679,3.455,237078,269632,pattern
512,4096,true,signed,Interactive,stream,7.664,7.542,0.984,3.200,4.429,5.086,2.251,237078,279872,pattern
512,4096,true,signed,Interactive,random,7.723,8.233,1.066,3.202,4.487,5.079,2.972,237078,279872,pattern
512,4096,true,signed,ReadMostly,stream,7.642,8.257,1.081,3.197,4.414,5.097,2.438,237078,279872,pattern
512,4096,true,signed,ReadMostly,random,7.712,8.919,1.157,3.195,4.483,5.047,3.135,237078,279872,pattern
512,4096,true,encrypted-signed,Interactive,stream,7.638,4.106,0.538,3.190,4.401,1.392,2.529,237078,279872,pattern
512,4096,true,encrypted-signed,Interactive,random,7.680,4.789,0.624,3.182,4.468,1.382,3.218,237078,279872,pattern
512,4096,true,encrypted-signed,ReadMostly,stream,7.622,4.816,0.632,3.190,4.399,1.383,2.716,237078,279872,pattern
512,4096,true,encrypted-signed,ReadMostly,random,7.739,5.533,0.715,3.219,4.487,1.391,3.425,237078,279872,pattern
4,1048576,true,plain,Interactive,stream,0.856,1.621,1.893,0.033,0.821,0.088,1.515,56150,35136,pattern
4,1048576,true,plain,Interactive,random,0.877,2.579,2.942,0.034,0.842,0.085,2.478,56150,35136,pattern
4,1048576,true,plain,Interactive,range,1.254,2.426,1.934,0.033,1.221,0.083,2.328,56150,35136,pattern
4,1048576,true,plain,ReadMostly,stream,0.866,2.717,3.136,0.033,0.831,0.088,1.626,56150,35136,pattern
4,1048576,true,plain,ReadMostly,random,0.878,3.627,4.130,0.034,0.843,0.092,2.555,56150,35136,pattern
4,1048576,true,plain,ReadMostly,range,1.253,3.479,2.776,0.033,1.219,0.083,2.402,56150,35136,pattern
4,1048576,true,encrypted,Interactive,stream,0.869,1.614,1.857,0.034,0.834,0.090,1.506,56150,35136,pattern
4,1048576,true,encrypted,Interactive,random,0.881,2.624,2.979,0.034,0.843,0.090,2.512,56150,35136,pattern
4,1048576,true,encrypted,Interactive,range,1.259,2.440,1.938,0.033,1.224,0.088,2.337,56150,35136,pattern
4,1048576,true,encrypted,ReadMostly,stream,0.870,2.692,3.093,0.034,0.835,0.094,1.598,56150,35136,pattern
4,1048576,true,encrypted,ReadMostly,random,0.870,3.670,4.220,0.036,0.834,0.093,2.579,56150,35136,pattern
4,1048576,true,encrypted,ReadMostly,range,1.259,3.512,2.790,0.033,1.219,0.090,2.426,56150,35136,pattern
4,1048576,true,signed,Interactive,stream,0.872,5.952,6.822,0.034,0.837,4.462,1.469,56150,45376,pattern
4,1048576,true,signed,Interactive,random,0.868,6.934,7.990,0.033,0.828,4.461,2.450,56150,45376,pattern
4,1048576,true,signed,Interactive,range,1.256,6.774,5.395,0.033,1.221,4.453,2.306,56150,45376,pattern
4,1048576,true,signed,ReadMostly,stream,0.870,7.021,8.065,0.034,0.836,4.468,1.557,56150,45376,pattern
4,1048576,true,signed,ReadMostly,random,0.863,7.999,9.265,0.034,0.828,4.456,2.549,56150,45376,pattern
4,1048576,true,signed,ReadMostly,range,1.258,7.857,6.246,0.033,1.224,4.462,2.380,56150,45376,pattern
4,1048576,true,encrypted-signed,Interactive,stream,0.889,2.346,2.640,0.034,0.854,0.806,1.520,56150,45376,pattern
4,1048576,true,encrypted-signed,Interactive,random,0.877,3.320,3.786,0.034,0.842,0.805,2.494,56150,45376,pattern
4,1048576,true,encrypted-signed,Interactive,range,1.263,3.179,2.517,0.033,1.226,0.805,2.362,56150,45376,pattern
4,1048576,true,encrypted-signed,ReadMostly,stream,0.977,3.557,3.640,0.042,0.941,0.842,1.700,56150,45376,pattern
4,1048576,true,encrypted-signed,ReadMostly,random,0.875,4.586,5.243,0.037,0.839,0.854,2.715,56150,45376,pattern
4,1048576,true,encrypted-signed,ReadMostly,range,1.288,4.360,3.385,0.034,1.253,0.834,2.500,56150,45376,pattern
