files,size,access,format,open_us,first_byte_us,first_file_us,total_us,archive_bytes,read_calls_us,output_wipe_us,drop_us
1,128,stream,zip,16.340,22.300,23.051,24.131,256,6.471,0.000,1.080
1,128,stream,current,123.702,136.693,137.393,144.592,269696,13.140,0.000,7.140
1,128,stream,prototype-padded,5.360,10.530,10.620,11.550,2048,5.200,0.000,0.930
1,128,stream,prototype-compact,5.890,11.340,11.440,12.390,288,5.450,0.000,0.950
1,128,whole,zip,16.170,21.650,21.690,22.780,256,5.310,0.030,1.030
1,128,whole,current,121.772,133.803,133.833,141.392,269696,11.660,0.030,6.980
1,128,whole,prototype-padded,5.260,10.440,10.470,11.470,2048,5.040,0.030,0.910
1,128,whole,prototype-compact,5.710,11.050,11.080,12.100,288,5.271,0.030,0.940
1,128,range,zip,16.000,21.511,21.551,22.620,256,5.430,0.030,1.010
1,128,range,current,120.292,132.082,132.122,139.983,269696,11.650,0.030,6.840
1,128,range,prototype-padded,5.171,10.351,10.391,11.371,2048,5.140,0.020,0.920
1,128,range,prototype-compact,5.761,11.110,11.140,12.130,288,5.290,0.020,0.940
512,4096,stream,zip,3424.953,3434.113,3434.993,7305.403,2151446,3831.610,0.000,34.411
512,4096,stream,current,623.391,2084.118,2084.978,4267.138,2477440,3444.624,0.000,173.743
512,4096,stream,prototype-padded,9.210,19.601,19.830,2874.272,2655232,2842.921,0.000,1.380
512,4096,stream,prototype-compact,10.380,21.711,21.981,2894.983,2146368,2865.992,0.000,1.420
512,4096,whole,zip,3414.092,3422.742,3422.852,6895.646,2151446,3314.453,43.141,33.691
512,4096,whole,current,600.491,1975.375,1975.495,3703.218,2477440,2825.904,42.222,168.523
512,4096,whole,prototype-padded,8.770,18.970,19.060,2831.862,2655232,2702.588,43.052,1.350
512,4096,whole,prototype-compact,10.540,22.350,22.450,2859.192,2146368,2725.801,42.960,1.430
512,4096,range,zip,3414.412,3422.752,3422.802,6801.464,2151446,3259.430,26.881,33.620
512,4096,range,current,600.371,2015.587,2015.657,3763.349,2477440,2902.833,28.430,169.143
512,4096,range,prototype-padded,8.100,18.701,18.771,2898.093,2655232,2803.520,26.710,1.380
512,4096,range,prototype-compact,9.931,21.291,21.361,2903.303,2146368,2808.872,27.070,1.370
4,8388608,stream,zip,69.392,89.442,2352.123,9171.167,33554878,9083.395,0.000,5.760
4,8388608,stream,current,288.786,5465.530,10585.413,44100.064,33832320,41613.868,0.000,2054.318
4,8388608,stream,prototype-padded,26.471,791.634,2186.150,8005.536,33620992,7966.925,0.000,16.220
4,8388608,stream,prototype-compact,30.151,861.996,2310.482,7992.296,33620288,7954.715,0.000,17.640
4,8388608,whole,zip,76.951,1491.417,2010.287,8484.524,33554878,5494.540,945.098,7.350
4,8388608,whole,current,314.486,11088.802,11859.356,59473.523,33832320,50838.896,1156.371,4141.505
4,8388608,whole,prototype-padded,34.371,1405.075,1974.936,8402.343,33620992,4416.199,1627.639,21.100
4,8388608,whole,prototype-compact,40.501,1415.195,2015.687,8566.586,33620288,4462.162,1641.610,19.911
4,8388608,range,zip,56.211,77.371,77.541,114.482,33554878,55.351,0.610,1.850
4,8388608,range,current,205.444,5798.316,5799.086,23472.177,33832320,21631.254,1.150,1631.600
4,8388608,range,prototype-padded,12.300,30.860,31.030,81.511,33620992,66.311,0.590,1.170
4,8388608,range,prototype-compact,17.011,38.141,44.011,92.452,33620288,66.621,0.610,1.320
