files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip,zip_open_ms,zip_read_ms,lockbox_open_ms,lockbox_read_ms,zip_bytes,lockbox_bytes,corpus
4,1048576,false,plain,Interactive,stream,0.972,5.106,5.252,0.036,0.935,0.096,4.863,4194750,4201792,pattern
4,1048576,false,plain,Interactive,random,0.972,4.974,5.120,0.036,0.934,0.088,4.739,4194750,4201792,pattern
4,1048576,false,plain,Interactive,range,0.105,4.874,46.593,0.036,0.068,0.088,4.610,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,stream,0.973,5.762,5.922,0.036,0.935,0.114,5.290,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,random,0.973,4.993,5.130,0.036,0.936,0.091,4.755,4194750,4201792,pattern
4,1048576,false,plain,ReadMostly,range,0.105,4.751,45.265,0.036,0.068,0.080,4.530,4194750,4201792,pattern
4,1048576,true,plain,Interactive,stream,0.895,1.615,1.804,0.035,0.859,0.087,1.517,56150,35136,pattern
4,1048576,true,plain,Interactive,random,0.892,1.758,1.972,0.035,0.855,0.084,1.664,56150,35136,pattern
4,1048576,true,plain,Interactive,range,1.278,1.609,1.259,0.034,1.243,0.084,1.513,56150,35136,pattern
4,1048576,true,plain,ReadMostly,stream,0.890,1.848,2.076,0.035,0.854,0.089,1.614,56150,35136,pattern
4,1048576,true,plain,ReadMostly,random,0.892,2.000,2.241,0.035,0.856,0.088,1.763,56150,35136,pattern
4,1048576,true,plain,ReadMostly,range,1.285,1.828,1.422,0.034,1.250,0.085,1.601,56150,35136,pattern
