size,block,encrypted,signed,compressed,repeat,bytes,write_us,open_us,whole_us,range_us,compression_requested,storage,corpus
128,16384,false,false,false,1,277,1993.299,38.551,6.640,5.920,false,file,pattern
128,16384,false,false,false,2,277,1972.579,25.531,6.420,5.780,false,file,pattern
128,16384,false,false,false,3,277,1897.898,19.590,6.490,5.770,false,file,pattern
128,16384,false,false,false,4,277,1901.618,16.000,5.880,5.770,false,file,pattern
128,16384,false,false,false,5,277,2091.351,20.420,7.920,6.220,false,file,pattern
128,16384,true,false,false,1,309,2036.069,20.001,8.300,7.590,false,file,pattern
128,16384,true,false,false,2,309,1952.909,18.310,8.050,7.750,false,file,pattern
128,16384,true,false,false,3,309,2366.494,22.841,8.280,7.600,false,file,pattern
128,16384,true,false,false,4,309,1844.687,19.590,8.170,7.560,false,file,pattern
128,16384,true,false,false,5,309,1826.957,22.160,8.270,7.670,false,file,pattern
128,16384,false,true,false,1,277,2025.989,66.851,5.740,5.750,false,file,pattern
128,16384,false,true,false,2,277,2013.439,70.741,5.711,5.680,false,file,pattern
128,16384,false,true,false,3,277,1941.628,87.491,5.991,5.850,false,file,pattern
128,16384,false,true,false,4,277,1946.568,77.901,5.830,5.800,false,file,pattern
128,16384,false,true,false,5,277,1938.759,72.441,5.910,5.820,false,file,pattern
128,16384,true,true,false,1,309,1862.647,72.511,9.301,9.540,false,file,pattern
128,16384,true,true,false,2,309,1849.897,73.051,7.590,7.680,false,file,pattern
128,16384,true,true,false,3,309,1810.806,98.442,9.600,9.510,false,file,pattern
128,16384,true,true,false,4,309,2030.670,75.831,7.700,7.700,false,file,pattern
128,16384,true,true,false,5,309,2024.790,74.801,7.570,7.520,false,file,pattern
128,16384,false,false,false,1,277,1846.807,19.670,6.230,5.900,true,file,pattern
128,16384,false,false,false,2,277,1865.087,14.171,5.960,5.800,true,file,pattern
128,16384,false,false,false,3,277,1878.467,15.670,6.050,5.840,true,file,pattern
128,16384,false,false,false,4,277,1793.566,16.851,6.020,5.820,true,file,pattern
128,16384,false,false,false,5,277,1748.246,14.360,5.900,5.740,true,file,pattern
