size,block,encrypted,signed,compressed,repeat,bytes,write_us,open_us,whole_us,range_us,compression_requested,storage,corpus
4194304,16384,false,false,false,1,4202613,10404.932,46.130,3994.229,30.821,false,file,pattern
4194304,16384,false,false,false,2,4202613,8270.571,50.251,4060.979,56.861,false,file,pattern
4194304,16384,false,false,false,3,4202613,8313.211,63.241,4547.566,81.411,false,file,pattern
4194304,16384,false,false,false,4,4202613,8364.822,74.011,4787.590,56.291,false,file,pattern
4194304,16384,false,false,false,5,4202613,8134.779,72.951,4560.606,71.111,false,file,pattern
4194304,16384,true,false,false,1,4206725,15196.612,74.841,7108.784,50.841,false,file,pattern
4194304,16384,true,false,false,2,4206725,16064.704,72.531,7017.863,53.560,false,file,pattern
4194304,16384,true,false,false,3,4206725,133356.287,99.092,8112.728,53.321,false,file,pattern
4194304,16384,true,false,false,4,4206725,230155.420,66.301,7406.608,70.501,false,file,pattern
4194304,16384,true,false,false,5,4206725,238303.519,87.812,8225.830,93.581,false,file,pattern
4194304,16384,false,true,false,1,4202613,60483.483,9274.366,3641.603,62.471,false,file,pattern
4194304,16384,false,true,false,2,4202613,57104.093,10219.389,3786.076,81.381,false,file,pattern
4194304,16384,false,true,false,3,4202613,54711.438,6791.719,2707.350,64.291,false,file,pattern
4194304,16384,false,true,false,4,4202613,38509.463,8338.811,2876.602,85.642,false,file,pattern
4194304,16384,false,true,false,5,4202613,8391.432,7826.994,2730.080,55.851,false,file,pattern
4194304,16384,true,true,false,1,4206725,17175.641,9386.337,5562.131,57.621,false,file,pattern
4194304,16384,true,true,false,2,4206725,16900.257,9313.996,5603.592,52.040,false,file,pattern
4194304,16384,true,true,false,3,4206725,16396.509,9362.417,5546.651,47.751,false,file,pattern
4194304,16384,true,true,false,4,4206725,17172.340,9531.419,5642.463,64.211,false,file,pattern
4194304,16384,true,true,false,5,4206725,17792.710,10445.873,5818.935,58.831,false,file,pattern
4194304,16384,false,false,true,1,26415,4655.118,26.010,4873.421,5012.933,true,file,pattern
4194304,16384,false,false,true,2,26415,4541.916,23.030,4606.428,5659.133,true,file,pattern
4194304,16384,false,false,true,3,26415,4490.866,22.520,4724.619,5031.844,true,file,pattern
4194304,16384,false,false,true,4,26415,4744.729,26.860,4508.446,4817.420,true,file,pattern
4194304,16384,false,false,true,5,26415,4782.270,29.290,4497.156,4903.612,true,file,pattern
4194304,16384,true,false,true,1,26463,5067.334,47.621,5900.916,5691.693,true,file,pattern
4194304,16384,true,false,true,2,26463,4810.071,33.090,4994.153,4928.552,true,file,pattern
4194304,16384,true,false,true,3,26463,4800.190,35.301,4787.600,5140.245,true,file,pattern
4194304,16384,true,false,true,4,26463,4786.310,44.931,5056.763,5052.994,true,file,pattern
4194304,16384,true,false,true,5,26463,4504.105,33.010,4424.355,4747.229,true,file,pattern
4194304,16384,false,true,true,1,26415,5122.745,6862.520,2114.281,4932.333,true,file,pattern
4194304,16384,false,true,true,2,26415,5104.745,8040.297,2341.104,5706.233,true,file,pattern
4194304,16384,false,true,true,3,26415,4592.837,7126.704,2092.581,5443.379,true,file,pattern
4194304,16384,false,true,true,4,26415,4552.127,7163.444,1934.419,4962.973,true,file,pattern
4194304,16384,false,true,true,5,26415,5096.784,8143.249,2182.382,5519.070,true,file,pattern
4194304,16384,true,true,true,1,26463,4641.428,7412.098,2947.933,5618.892,true,file,pattern
4194304,16384,true,true,true,2,26463,5122.404,9151.004,2321.644,5097.005,true,file,pattern
4194304,16384,true,true,true,3,26463,5106.045,6979.712,1832.716,4970.843,true,file,pattern
4194304,16384,true,true,true,4,26463,5055.664,7122.654,2017.079,4979.083,true,file,pattern
4194304,16384,true,true,true,5,26463,4949.932,6619.697,1863.867,4934.272,true,file,pattern
4194304,65536,false,false,false,1,4196469,5982.538,35.880,2746.080,75.781,false,file,pattern
4194304,65536,false,false,false,2,4196469,5912.237,32.620,2727.970,84.431,false,file,pattern
4194304,65536,false,false,false,3,4196469,6052.989,31.040,2653.519,69.971,false,file,pattern
4194304,65536,false,false,false,4,4196469,6637.727,37.850,2770.411,81.801,false,file,pattern
4194304,65536,false,false,false,5,4196469,6001.088,44.620,2707.660,127.252,false,file,pattern
4194304,65536,true,false,false,1,4197509,15442.385,62.541,5619.242,138.772,false,file,pattern
4194304,65536,true,false,false,2,4197509,15603.858,65.711,5493.740,135.232,false,file,pattern
4194304,65536,true,false,false,3,4197509,15631.689,53.920,5513.291,135.892,false,file,pattern
4194304,65536,true,false,false,4,4197509,31983.427,77.131,5404.679,146.482,false,file,pattern
4194304,65536,true,false,false,5,4197509,14780.585,61.721,5587.872,151.552,false,file,pattern
4194304,65536,false,true,false,1,4196469,6204.671,4780.460,2475.576,70.061,false,file,pattern
4194304,65536,false,true,false,2,4196469,6505.815,4904.322,2526.607,107.912,false,file,pattern
4194304,65536,false,true,false,3,4196469,6522.205,4900.182,2482.756,71.851,false,file,pattern
4194304,65536,false,true,false,4,4196469,6001.998,4749.339,2471.256,65.951,false,file,pattern
4194304,65536,false,true,false,5,4196469,6524.135,4784.000,2499.666,70.971,false,file,pattern
