size,block,encrypted,signed,compressed,repeat,bytes,write_us,open_us,whole_us,range_us,compression_requested,storage,corpus
4194304,16384,false,false,false,1,4202613,29420.970,64.181,4288.692,42.321,false,file,random
4194304,16384,false,false,false,2,4202613,12262.399,46.101,4132.730,42.981,false,file,random
4194304,16384,false,false,false,3,4202613,13741.651,62.771,4305.453,49.811,false,file,random
4194304,16384,false,false,false,4,4202613,14059.306,48.831,4108.510,46.661,false,file,random
4194304,16384,false,false,false,5,4202613,11406.217,56.590,4110.710,41.100,false,file,random
4194304,16384,true,false,false,1,4206725,14676.584,56.021,6966.752,48.110,false,file,random
4194304,16384,true,false,false,2,4206725,16611.972,58.691,6937.442,46.350,false,file,random
4194304,16384,true,false,false,3,4206725,16472.481,67.511,7068.573,46.441,false,file,random
4194304,16384,true,false,false,4,4206725,14099.816,42.821,6998.122,45.961,false,file,random
4194304,16384,true,false,false,5,4206725,15924.322,51.741,6935.041,54.541,false,file,random
4194304,16384,false,true,false,1,4202613,13440.106,6273.192,2515.487,40.611,false,file,random
4194304,16384,false,true,false,2,4202613,13188.192,6366.263,2544.977,39.451,false,file,random
4194304,16384,false,true,false,3,4202613,13418.346,6325.112,2507.577,37.810,false,file,random
4194304,16384,false,true,false,4,4202613,11890.414,6341.292,2504.237,32.310,false,file,random
4194304,16384,false,true,false,5,4202613,11526.048,6338.202,2526.147,39.940,false,file,random
4194304,16384,true,true,false,1,4206725,17233.071,9267.226,5520.750,45.421,false,file,random
4194304,16384,true,true,false,2,4206725,16576.732,9206.114,5499.031,45.831,false,file,random
4194304,16384,true,true,false,3,4206725,14390.710,9250.705,5505.421,41.851,false,file,random
4194304,16384,true,true,false,4,4206725,17147.040,9365.407,5624.522,63.591,false,file,random
4194304,16384,true,true,false,5,4206725,131057.244,11922.644,6416.014,78.351,false,file,random
4194304,16384,false,false,false,1,4202613,240770.836,62.031,4236.491,33.691,true,file,random
4194304,16384,false,false,false,2,4202613,186623.755,104.911,4955.073,51.551,true,file,random
