size,block,encrypted,signed,compressed,repeat,bytes,write_us,open_us,whole_us,range_us,compression_requested
128,16384,false,false,false,1,277,1.210,0.870,0.380,0.390,false
128,16384,false,false,false,2,277,1.140,0.950,0.400,0.360,false
128,16384,false,false,false,3,277,1.351,0.830,0.410,0.400,false
128,16384,false,false,false,4,277,1.100,0.860,0.390,0.370,false
128,16384,false,false,false,5,277,1.150,0.870,0.370,0.340,false
128,16384,true,false,false,1,309,5.981,3.610,2.510,2.530,false
128,16384,true,false,false,2,309,6.050,3.670,2.490,2.550,false
128,16384,true,false,false,3,309,6.081,3.400,2.400,2.390,false
128,16384,true,false,false,4,309,6.010,3.650,2.510,2.530,false
128,16384,true,false,false,5,309,5.940,3.600,2.500,2.550,false
128,16384,false,true,false,1,277,30.111,61.501,0.380,0.340,false
128,16384,false,true,false,2,277,30.350,60.831,0.360,0.410,false
128,16384,false,true,false,3,277,30.501,60.471,0.420,0.490,false
128,16384,false,true,false,4,277,35.190,60.711,0.350,0.340,false
128,16384,false,true,false,5,277,26.810,59.841,0.340,0.350,false
128,16384,true,true,false,1,309,34.550,65.001,2.500,2.500,false
128,16384,true,true,false,2,309,35.050,73.781,2.420,2.540,false
128,16384,true,true,false,3,309,35.510,64.851,2.470,2.450,false
128,16384,true,true,false,4,309,35.081,64.761,2.510,2.420,false
128,16384,true,true,false,5,309,35.101,66.121,2.460,2.430,false
128,16384,false,false,false,1,277,5.770,0.900,0.450,0.450,true
128,16384,false,false,false,2,277,6.260,1.000,0.450,0.450,true
128,16384,false,false,false,3,277,6.471,1.050,0.350,0.360,true
128,16384,false,false,false,4,277,5.060,0.860,0.360,0.360,true
128,16384,false,false,false,5,277,4.820,0.850,0.350,0.380,true
128,16384,true,false,false,1,309,9.330,3.560,2.500,2.450,true
128,16384,true,false,false,2,309,9.800,3.570,2.540,2.480,true
128,16384,true,false,false,3,309,9.990,3.520,2.410,2.400,true
128,16384,true,false,false,4,309,9.820,3.540,2.430,2.440,true
128,16384,true,false,false,5,309,9.681,3.500,2.520,2.470,true
128,16384,false,true,false,1,277,37.131,60.361,0.370,0.380,true
128,16384,false,true,false,2,277,34.391,67.451,0.360,0.370,true
128,16384,false,true,false,3,277,34.390,60.401,0.350,0.380,true
128,16384,false,true,false,4,277,33.531,61.611,0.330,0.320,true
128,16384,false,true,false,5,277,34.051,60.050,0.360,0.370,true
128,16384,true,true,false,1,309,37.541,63.011,2.490,2.490,true
128,16384,true,true,false,2,309,40.921,65.701,2.530,2.450,true
128,16384,true,true,false,3,309,39.751,65.471,2.440,2.510,true
128,16384,true,true,false,4,309,38.751,65.941,2.430,2.530,true
128,16384,true,true,false,5,309,40.411,66.071,2.410,2.570,true
128,65536,false,false,false,1,277,1.060,0.880,0.380,0.370,false
128,65536,false,false,false,2,277,1.160,0.780,0.320,0.340,false
128,65536,false,false,false,3,277,1.290,0.860,0.360,0.380,false
128,65536,false,false,false,4,277,1.110,0.870,0.360,0.360,false
128,65536,false,false,false,5,277,1.070,0.780,0.350,0.370,false
128,65536,true,false,false,1,309,5.960,3.560,2.530,2.410,false
128,65536,true,false,false,2,309,5.990,3.540,2.510,2.420,false
128,65536,true,false,false,3,309,6.270,3.520,2.520,2.490,false
128,65536,true,false,false,4,309,5.940,3.591,2.500,2.500,false
128,65536,true,false,false,5,309,5.930,3.560,2.510,2.420,false
128,65536,false,true,false,1,277,29.480,59.311,0.360,0.360,false
128,65536,false,true,false,2,277,30.321,61.080,0.370,0.400,false
128,65536,false,true,false,3,277,30.430,60.061,0.350,0.380,false
128,65536,false,true,false,4,277,30.051,60.151,0.340,0.350,false
128,65536,false,true,false,5,277,30.240,61.261,0.350,0.390,false
128,65536,true,true,false,1,309,35.241,65.721,2.490,2.510,false
128,65536,true,true,false,2,309,35.251,65.771,2.360,2.420,false
128,65536,true,true,false,3,309,34.130,61.771,2.420,2.490,false
128,65536,true,true,false,4,309,31.931,63.721,2.450,2.480,false
128,65536,true,true,false,5,309,34.181,62.681,2.400,2.430,false
128,65536,false,false,false,1,277,4.800,0.780,0.350,0.400,true
128,65536,false,false,false,2,277,5.310,0.900,0.410,0.390,true
128,65536,false,false,false,3,277,5.300,0.830,0.380,0.370,true
128,65536,false,false,false,4,277,5.530,0.830,0.410,0.400,true
128,65536,false,false,false,5,277,5.510,0.810,0.380,0.350,true
128,65536,true,false,false,1,309,9.300,3.590,2.450,2.470,true
128,65536,true,false,false,2,309,10.080,3.540,2.440,2.511,true
128,65536,true,false,false,3,309,9.850,3.530,2.490,2.510,true
128,65536,true,false,false,4,309,9.590,3.530,2.570,2.470,true
128,65536,true,false,false,5,309,9.540,3.530,2.410,2.450,true
128,65536,false,true,false,1,277,33.220,58.341,0.360,0.340,true
128,65536,false,true,false,2,277,30.961,52.880,0.350,0.350,true
128,65536,false,true,false,3,277,30.810,53.791,0.330,0.370,true
128,65536,false,true,false,4,277,32.491,64.011,0.340,0.360,true
128,65536,false,true,false,5,277,33.920,64.891,0.320,0.320,true
128,65536,true,true,false,1,309,39.711,69.391,2.500,2.570,true
128,65536,true,true,false,2,309,41.251,70.081,2.510,2.550,true
128,65536,true,true,false,3,309,41.471,76.681,2.520,2.610,true
128,65536,true,true,false,4,309,42.911,71.001,2.480,2.550,true
128,65536,true,true,false,5,309,42.070,70.451,2.580,2.610,true
128,262144,false,false,false,1,277,1.150,0.800,0.360,0.400,false
128,262144,false,false,false,2,277,1.230,0.820,0.380,0.360,false
128,262144,false,false,false,3,277,1.380,0.920,0.370,0.400,false
128,262144,false,false,false,4,277,1.200,0.850,0.370,0.330,false
