size,block,encrypted,signed,compressed,repeat,bytes,write_us,open_us,whole_us,range_us,compression_requested
1048576,16384,false,false,false,1,1050741,1003.495,3.950,945.614,18.780,false
1048576,16384,false,false,false,2,1050741,968.075,4.130,997.355,20.591,false
1048576,16384,false,false,false,3,1050741,985.525,4.220,1050.246,21.500,false
1048576,16384,false,false,false,4,1050741,1028.406,4.580,1020.665,26.900,false
1048576,16384,false,false,false,5,1050741,969.015,4.040,1014.855,20.531,false
1048576,16384,true,false,false,1,1051781,1853.328,9.420,1853.918,40.450,false
1048576,16384,true,false,false,2,1051781,1807.367,8.871,1857.208,34.261,false
1048576,16384,true,false,false,3,1051781,1828.278,8.650,1856.938,33.940,false
1048576,16384,true,false,false,4,1051781,1771.437,8.380,1888.299,39.501,false
1048576,16384,true,false,false,5,1051781,1896.779,9.150,1916.669,36.080,false
1048576,16384,false,true,false,1,1050741,1002.495,1902.699,557.928,21.960,false
1048576,16384,false,true,false,2,1050741,582.798,1504.413,553.009,12.250,false
1048576,16384,false,true,false,3,1050741,597.639,1474.032,554.499,12.100,false
1048576,16384,false,true,false,4,1050741,600.519,1474.852,553.168,12.650,false
1048576,16384,false,true,false,5,1050741,604.899,1466.482,552.479,17.210,false
1048576,16384,true,true,false,1,1051781,1838.028,2794.782,1357.561,24.480,false
1048576,16384,true,true,false,2,1051781,1876.158,2782.433,1406.161,27.841,false
1048576,16384,true,true,false,3,1051781,1847.098,2798.142,1397.741,26.120,false
1048576,16384,true,true,false,4,1051781,1845.548,2741.021,1448.032,25.611,false
1048576,16384,true,true,false,5,1051781,1874.658,2595.589,1346.591,24.791,false
1048576,16384,false,false,true,1,6911,847.933,1.520,901.403,1344.070,true
1048576,16384,false,false,true,2,6911,819.703,1.540,886.313,1309.180,true
1048576,16384,false,false,true,3,6911,818.203,1.780,903.304,1326.370,true
1048576,16384,false,false,true,4,6911,825.242,1.770,909.434,1320.500,true
1048576,16384,false,false,true,5,6911,789.963,1.650,902.013,1393.261,true
1048576,16384,true,false,true,1,6943,807.982,4.670,909.074,1327.490,true
1048576,16384,true,false,true,2,6943,786.992,4.560,862.003,1239.129,true
1048576,16384,true,false,true,3,6943,889.533,4.930,932.145,1302.000,true
1048576,16384,true,false,true,4,6943,810.022,5.550,896.694,1358.961,true
1048576,16384,true,false,true,5,6943,795.552,5.811,917.203,1352.930,true
1048576,16384,false,true,true,1,6911,599.429,1390.622,1039.865,1038.286,true
1048576,16384,false,true,true,2,6911,571.999,1387.701,1053.976,982.585,true
1048576,16384,false,true,true,3,6911,572.899,1386.141,1026.776,975.365,true
1048576,16384,false,true,true,4,6911,595.599,1463.062,1362.651,1306.159,true
1048576,16384,false,true,true,5,6911,834.832,2097.772,1361.921,1352.940,true
1048576,16384,true,true,true,1,6943,825.813,1874.378,1047.066,1032.856,true
1048576,16384,true,true,true,2,6943,609.249,1396.191,1047.166,992.885,true
1048576,16384,true,true,true,3,6943,576.468,1382.931,1019.436,978.445,true
1048576,16384,true,true,true,4,6943,562.139,1387.371,1028.635,978.845,true
1048576,16384,true,true,true,5,6943,567.198,1380.421,1185.408,1364.261,true
1048576,65536,false,false,false,1,1049205,851.523,1.300,897.294,47.581,false
1048576,65536,false,false,false,2,1049205,862.304,1.110,895.583,47.461,false
1048576,65536,false,false,false,3,1049205,853.623,1.160,894.614,47.501,false
1048576,65536,false,false,false,4,1049205,856.813,1.090,908.404,47.441,false
1048576,65536,false,false,false,5,1049205,851.423,1.120,899.143,47.480,false
1048576,65536,true,false,false,1,1049477,1553.303,5.320,1736.767,97.061,false
1048576,65536,true,false,false,2,1049477,1722.566,5.720,1778.197,102.471,false
1048576,65536,true,false,false,3,1049477,1696.256,5.340,1773.477,98.591,false
1048576,65536,true,false,false,4,1049477,1721.606,11.740,1576.875,87.521,false
1048576,65536,true,false,false,5,1049477,1499.993,4.000,1558.403,89.871,false
1048576,65536,false,true,false,1,1049205,894.454,1459.992,537.918,47.591,false
1048576,65536,false,true,false,2,1049205,882.473,1446.032,537.558,47.630,false
1048576,65536,false,true,false,3,1049205,870.553,1447.442,538.038,47.590,false
