pair,position,reader,phase,mode,compressed,size,corpus,sample,open_us,read_us,total_us,archive_bytes
0,0,main,write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,41587.000,322944
0,0,main,write,encrypted,true,8388608,pattern,1,0.000,0.000,35174.703,312704
0,0,main,write,plain,true,8388608,pattern,1,0.000,0.000,38496.084,312704
0,0,main,write,signed,false,8388608,pattern,1,0.000,0.000,163038.662,8673664
0,0,main,write,signed,true,8388608,pattern,1,0.000,0.000,55394.890,322944
0,0,main,write,plain,false,8388608,pattern,1,0.000,0.000,157079.711,8659328
0,0,main,write,encrypted-signed,false,8388608,pattern,1,0.000,0.000,129905.920,8673664
0,0,main,write,encrypted,false,8388608,pattern,1,0.000,0.000,134978.536,8659328
0,0,main,write,encrypted,true,8388608,pattern,2,0.000,0.000,33630.530,312704
0,0,main,write,encrypted-signed,true,8388608,pattern,2,0.000,0.000,36195.659,322944
0,0,main,write,plain,true,8388608,pattern,2,0.000,0.000,34038.546,312704
0,0,main,write,plain,false,8388608,pattern,2,0.000,0.000,219283.435,8659328
0,0,main,write,signed,false,8388608,pattern,2,0.000,0.000,248888.184,8673664
0,0,main,write,encrypted,false,8388608,pattern,2,0.000,0.000,137127.630,8659328
0,0,main,write,encrypted-signed,false,8388608,pattern,2,0.000,0.000,152420.141,8673664
0,0,main,write,signed,true,8388608,pattern,2,0.000,0.000,54533.757,322944
0,1,branch,write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,44949.852,322944
0,1,branch,write,encrypted,true,8388608,pattern,1,0.000,0.000,38269.520,312704
0,1,branch,write,plain,true,8388608,pattern,1,0.000,0.000,33301.175,312704
0,1,branch,write,signed,false,8388608,pattern,1,0.000,0.000,125656.255,8673664
0,1,branch,write,signed,true,8388608,pattern,1,0.000,0.000,42764.308,322944
0,1,branch,write,plain,false,8388608,pattern,1,0.000,0.000,116712.360,8659328
0,1,branch,write,encrypted-signed,false,8388608,pattern,1,0.000,0.000,135253.480,8673664
0,1,branch,write,encrypted,false,8388608,pattern,1,0.000,0.000,143235.182,8659328
0,1,branch,write,encrypted,true,8388608,pattern,2,0.000,0.000,34113.887,312704
0,1,branch,write,encrypted-signed,true,8388608,pattern,2,0.000,0.000,38027.027,322944
0,1,branch,write,plain,true,8388608,pattern,2,0.000,0.000,35600.989,312704
0,1,branch,write,plain,false,8388608,pattern,2,0.000,0.000,147646.918,8659328
0,1,branch,write,signed,false,8388608,pattern,2,0.000,0.000,164567.225,8673664
0,1,branch,write,encrypted,false,8388608,pattern,2,0.000,0.000,133219.150,8659328
0,1,branch,write,encrypted-signed,false,8388608,pattern,2,0.000,0.000,137665.127,8673664
0,1,branch,write,signed,true,8388608,pattern,2,0.000,0.000,46477.664,322944
0,2,branch,write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,52037.279,322944
0,2,branch,write,encrypted,true,8388608,pattern,1,0.000,0.000,41841.224,312704
0,2,branch,write,plain,true,8388608,pattern,1,0.000,0.000,40653.026,312704
0,2,branch,write,signed,false,8388608,pattern,1,0.000,0.000,158658.865,8673664
0,2,branch,write,signed,true,8388608,pattern,1,0.000,0.000,55427.930,322944
0,2,branch,write,plain,false,8388608,pattern,1,0.000,0.000,141833.850,8659328
0,2,branch,write,encrypted-signed,false,8388608,pattern,1,0.000,0.000,177918.357,8673664
0,2,branch,write,encrypted,false,8388608,pattern,1,0.000,0.000,135789.849,8659328
0,2,branch,write,encrypted,true,8388608,pattern,2,0.000,0.000,34558.484,312704
0,2,branch,write,encrypted-signed,true,8388608,pattern,2,0.000,0.000,41063.393,322944
0,2,branch,write,plain,true,8388608,pattern,2,0.000,0.000,34447.832,312704
0,2,branch,write,plain,false,8388608,pattern,2,0.000,0.000,138686.603,8659328
0,2,branch,write,signed,false,8388608,pattern,2,0.000,0.000,171164.875,8673664
0,2,branch,write,encrypted,false,8388608,pattern,2,0.000,0.000,194559.970,8659328
0,2,branch,write,encrypted-signed,false,8388608,pattern,2,0.000,0.000,214855.058,8673664
0,2,branch,write,signed,true,8388608,pattern,2,0.000,0.000,68561.920,322944
0,3,main,write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,38882.249,322944
0,3,main,write,encrypted,true,8388608,pattern,1,0.000,0.000,43720.113,312704
0,3,main,write,plain,true,8388608,pattern,1,0.000,0.000,41011.491,312704
0,3,main,write,signed,false,8388608,pattern,1,0.000,0.000,166617.886,8673664
0,3,main,write,signed,true,8388608,pattern,1,0.000,0.000,57523.232,322944
0,3,main,write,plain,false,8388608,pattern,1,0.000,0.000,135153.099,8659328
0,3,main,write,encrypted-signed,false,8388608,pattern,1,0.000,0.000,145060.279,8673664
0,3,main,write,encrypted,false,8388608,pattern,1,0.000,0.000,146719.285,8659328
0,3,main,write,encrypted,true,8388608,pattern,2,0.000,0.000,42231.451,312704
0,3,main,write,encrypted-signed,true,8388608,pattern,2,0.000,0.000,46419.523,322944
0,3,main,write,plain,true,8388608,pattern,2,0.000,0.000,39257.445,312704
0,3,main,write,plain,false,8388608,pattern,2,0.000,0.000,134462.089,8659328
0,3,main,write,signed,false,8388608,pattern,2,0.000,0.000,166875.670,8673664
0,3,main,write,encrypted,false,8388608,pattern,2,0.000,0.000,178374.235,8659328
0,3,main,write,encrypted-signed,false,8388608,pattern,2,0.000,0.000,241717.435,8673664
0,3,main,write,signed,true,8388608,pattern,2,0.000,0.000,180614.288,322944
1,0,branch,write,encrypted,true,8388608,pattern,1,0.000,0.000,49615.062,312704
1,0,branch,write,plain,false,8388608,pattern,1,0.000,0.000,162539.814,8659328
1,0,branch,write,signed,false,8388608,pattern,1,0.000,0.000,174262.922,8673664
1,0,branch,write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,47949.807,322944
1,0,branch,write,encrypted-signed,false,8388608,pattern,1,0.000,0.000,178059.390,8673664
1,0,branch,write,encrypted,false,8388608,pattern,1,0.000,0.000,1167568.592,8659328
1,0,branch,write,signed,true,8388608,pattern,1,0.000,0.000,94687.756,322944
1,0,branch,write,plain,true,8388608,pattern,1,0.000,0.000,43710.033,312704
1,0,branch,write,encrypted-signed,false,8388608,pattern,2,0.000,0.000,150400.730,8673664
1,0,branch,write,plain,true,8388608,pattern,2,0.000,0.000,40244.441,312704
1,0,branch,write,plain,false,8388608,pattern,2,0.000,0.000,130570.879,8659328
1,0,branch,write,encrypted,true,8388608,pattern,2,0.000,0.000,39188.634,312704
1,0,branch,write,signed,false,8388608,pattern,2,0.000,0.000,161839.124,8673664
1,0,branch,write,encrypted,false,8388608,pattern,2,0.000,0.000,165334.567,8659328
1,0,branch,write,encrypted-signed,true,8388608,pattern,2,0.000,0.000,39882.345,322944
1,0,branch,write,signed,true,8388608,pattern,2,0.000,0.000,50436.524,322944
1,1,main,write,encrypted,true,8388608,pattern,1,0.000,0.000,145270.833,312704
1,1,main,write,plain,false,8388608,pattern,1,0.000,0.000,285189.604,8659328
1,1,main,write,signed,false,8388608,pattern,1,0.000,0.000,176912.322,8673664
1,1,main,write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,36062.536,322944
1,1,main,write,encrypted-signed,false,8388608,pattern,1,0.000,0.000,149280.404,8673664
1,1,main,write,encrypted,false,8388608,pattern,1,0.000,0.000,134549.780,8659328
1,1,main,write,signed,true,8388608,pattern,1,0.000,0.000,43571.770,322944
1,1,main,write,plain,true,8388608,pattern,1,0.000,0.000,32811.138,312704
1,1,main,write,encrypted-signed,false,8388608,pattern,2,0.000,0.000,129951.951,8673664
1,1,main,write,plain,true,8388608,pattern,2,0.000,0.000,35881.694,312704
1,1,main,write,plain,false,8388608,pattern,2,0.000,0.000,119066.176,8659328
1,1,main,write,encrypted,true,8388608,pattern,2,0.000,0.000,34700.616,312704
1,1,main,write,signed,false,8388608,pattern,2,0.000,0.000,131338.731,8673664
1,1,main,write,encrypted,false,8388608,pattern,2,0.000,0.000,131274.600,8659328
1,1,main,write,encrypted-signed,true,8388608,pattern,2,0.000,0.000,37633.081,322944
1,1,main,write,signed,true,8388608,pattern,2,0.000,0.000,40561.645,322944
1,2,main,write,encrypted,true,8388608,pattern,1,0.000,0.000,33924.444,312704
1,2,main,write,plain,false,8388608,pattern,1,0.000,0.000,125128.447,8659328
1,2,main,write,signed,false,8388608,pattern,1,0.000,0.000,137711.377,8673664
1,2,main,write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,35290.266,322944
1,2,main,write,encrypted-signed,false,8388608,pattern,1,0.000,0.000,131780.828,8673664
1,2,main,write,encrypted,false,8388608,pattern,1,0.000,0.000,133283.321,8659328
1,2,main,write,signed,true,8388608,pattern,1,0.000,0.000,44041.468,322944
1,2,main,write,plain,true,8388608,pattern,1,0.000,0.000,31412.166,312704
1,2,main,write,encrypted-signed,false,8388608,pattern,2,0.000,0.000,137941.531,8673664
1,2,main,write,plain,true,8388608,pattern,2,0.000,0.000,36038.156,312704
1,2,main,write,plain,false,8388608,pattern,2,0.000,0.000,122838.132,8659328
1,2,main,write,encrypted,true,8388608,pattern,2,0.000,0.000,35202.314,312704
1,2,main,write,signed,false,8388608,pattern,2,0.000,0.000,152550.633,8673664
1,2,main,write,encrypted,false,8388608,pattern,2,0.000,0.000,138423.409,8659328
1,2,main,write,encrypted-signed,true,8388608,pattern,2,0.000,0.000,39670.341,322944
1,2,main,write,signed,true,8388608,pattern,2,0.000,0.000,45987.347,322944
1,3,branch,write,encrypted,true,8388608,pattern,1,0.000,0.000,35091.002,312704
1,3,branch,write,plain,false,8388608,pattern,1,0.000,0.000,117531.512,8659328
1,3,branch,write,signed,false,8388608,pattern,1,0.000,0.000,132000.831,8673664
1,3,branch,write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,37131.643,322944
1,3,branch,write,encrypted-signed,false,8388608,pattern,1,0.000,0.000,130646.151,8673664
1,3,branch,write,encrypted,false,8388608,pattern,1,0.000,0.000,147588.878,8659328
1,3,branch,write,signed,true,8388608,pattern,1,0.000,0.000,45843.115,322944
1,3,branch,write,plain,true,8388608,pattern,1,0.000,0.000,34075.657,312704
1,3,branch,write,encrypted-signed,false,8388608,pattern,2,0.000,0.000,126542.528,8673664
1,3,branch,write,plain,true,8388608,pattern,2,0.000,0.000,35936.474,312704
1,3,branch,write,plain,false,8388608,pattern,2,0.000,0.000,113891.366,8659328
1,3,branch,write,encrypted,true,8388608,pattern,2,0.000,0.000,35490.798,312704
1,3,branch,write,signed,false,8388608,pattern,2,0.000,0.000,122299.304,8673664
1,3,branch,write,encrypted,false,8388608,pattern,2,0.000,0.000,126096.802,8659328
1,3,branch,write,encrypted-signed,true,8388608,pattern,2,0.000,0.000,38725.037,322944
1,3,branch,write,signed,true,8388608,pattern,2,0.000,0.000,43059.873,322944
2,0,main,write,encrypted-signed,false,8388608,pattern,1,0.000,0.000,147287.613,8673664
2,0,main,write,encrypted-signed,true,8388608,pattern,1,0.000,0.000,38250.150,322944
2,0,main,write,plain,false,8388608,pattern,1,0.000,0.000,125560.244,8659328
2,0,main,write,signed,false,8388608,pattern,1,0.000,0.000,136636.861,8673664
2,0,main,write,plain,true,8388608,pattern,1,0.000,0.000,34531.564,312704
2,0,main,write,encrypted,true,8388608,pattern,1,0.000,0.000,32710.106,312704
2,0,main,write,signed,true,8388608,pattern,1,0.000,0.000,135582.316,322944
2,0,main,write,encrypted,false,8388608,pattern,1,0.000,0.000,317593.285,8659328
2,0,main,write,encrypted,false,8388608,pattern,2,0.000,0.000,135892.750,8659328
