scenario,position,variant,files,bytes_per_file,compressed,mode,profile,access,zip_ms,lockbox_ms,lockbox_over_zip,zip_open_ms,zip_read_ms,lockbox_open_ms,lockbox_read_ms,zip_bytes,lockbox_bytes,corpus
small-pattern,1,existing,512,4096,false,plain,Interactive,stream,6.712,3.851,0.574,3.319,3.365,0.569,3.085,2151446,2477440,pattern
small-pattern,1,existing,512,4096,false,plain,Interactive,random,6.902,3.698,0.536,3.362,3.512,0.547,2.996,2151446,2477440,pattern
small-pattern,1,existing,512,4096,false,plain,ReadMostly,stream,6.764,3.926,0.580,3.342,3.376,0.555,3.136,2151446,2477440,pattern
small-pattern,1,existing,512,4096,false,plain,ReadMostly,random,6.881,3.687,0.536,3.362,3.518,0.547,2.986,2151446,2477440,pattern
small-pattern,1,existing,512,4096,true,plain,Interactive,stream,7.074,3.240,0.458,2.962,4.086,0.684,2.441,237078,531840,pattern
small-pattern,1,existing,512,4096,true,plain,Interactive,random,7.262,3.518,0.484,2.998,4.219,0.696,2.690,237078,531840,pattern
small-pattern,1,existing,512,4096,true,plain,ReadMostly,stream,7.117,3.513,0.494,2.988,4.109,0.691,2.643,237078,531840,pattern
small-pattern,1,existing,512,4096,true,plain,ReadMostly,random,7.271,3.803,0.523,2.989,4.190,0.695,2.905,237078,531840,pattern
small-pattern,2,experimental,512,4096,false,plain,Interactive,stream,6.348,18.530,2.919,2.938,3.347,0.661,17.771,2151446,2995584,pattern
small-pattern,2,experimental,512,4096,false,plain,Interactive,random,6.434,18.803,2.923,2.936,3.468,0.653,18.039,2151446,2995584,pattern
small-pattern,2,experimental,512,4096,false,plain,ReadMostly,stream,6.270,18.440,2.941,2.919,3.323,0.652,17.668,2151446,2995584,pattern
small-pattern,2,experimental,512,4096,false,plain,ReadMostly,random,6.424,18.725,2.915,2.936,3.459,0.655,17.953,2151446,2995584,pattern
small-pattern,2,experimental,512,4096,true,plain,Interactive,stream,6.870,20.412,2.971,2.930,3.920,0.931,19.368,237078,836992,pattern
small-pattern,2,experimental,512,4096,true,plain,Interactive,random,6.921,20.551,2.969,2.927,3.965,0.929,19.511,237078,836992,pattern
small-pattern,2,experimental,512,4096,true,plain,ReadMostly,stream,6.964,20.567,2.953,2.954,3.981,0.935,19.521,237078,836992,pattern
small-pattern,2,experimental,512,4096,true,plain,ReadMostly,random,6.952,20.807,2.993,2.943,3.982,0.937,19.721,237078,836992,pattern
small-pattern,3,experimental,512,4096,false,plain,Interactive,stream,6.455,18.849,2.920,2.963,3.445,0.697,18.037,2151446,2995584,pattern
small-pattern,3,experimental,512,4096,false,plain,Interactive,random,6.469,19.048,2.945,2.933,3.506,0.658,18.290,2151446,2995584,pattern
small-pattern,3,experimental,512,4096,false,plain,ReadMostly,stream,6.426,18.928,2.945,2.983,3.424,0.687,18.117,2151446,2995584,pattern
small-pattern,3,experimental,512,4096,false,plain,ReadMostly,random,6.547,19.049,2.910,2.955,3.549,0.661,18.283,2151446,2995584,pattern
small-pattern,3,experimental,512,4096,true,plain,Interactive,stream,7.087,20.685,2.919,3.085,3.981,0.938,19.611,237078,836992,pattern
small-pattern,3,experimental,512,4096,true,plain,Interactive,random,7.268,20.811,2.863,3.119,4.098,0.934,19.764,237078,836992,pattern
small-pattern,3,experimental,512,4096,true,plain,ReadMostly,stream,7.163,20.624,2.879,3.117,4.011,0.934,19.565,237078,836992,pattern
small-pattern,3,experimental,512,4096,true,plain,ReadMostly,random,7.207,20.725,2.876,3.113,4.063,0.922,19.692,237078,836992,pattern
small-pattern,4,existing,512,4096,false,plain,Interactive,stream,6.551,3.716,0.567,3.165,3.374,0.554,3.008,2151446,2477440,pattern
small-pattern,4,existing,512,4096,false,plain,Interactive,random,6.819,3.724,0.546,3.241,3.534,0.552,3.017,2151446,2477440,pattern
small-pattern,4,existing,512,4096,false,plain,ReadMostly,stream,6.757,3.954,0.585,3.250,3.446,0.567,3.155,2151446,2477440,pattern
