key,zip_ms,existing_ms,experimental_ms,existing_ratio,experimental_ratio,zip_min,zip_max,existing_min,existing_max,experimental_min,experimental_max,zip_bytes,existing_bytes,experimental_bytes,zip_open_ms,existing_open_ms,experimental_open_ms
small-pattern|false|Interactive|stream,6.503,3.7835,18.6895,0.5705,2.9195,6.348,6.712,3.716,3.851,18.53,18.849,2151446,2477440,2995584,3.064,0.5615,0.679
small-pattern|false|Interactive|random,6.644,3.711,18.9255,0.541,2.934,6.434,6.902,3.698,3.724,18.803,19.048,2151446,2477440,2995584,3.0885,0.5495,0.6555
small-pattern|false|ReadMostly|stream,6.5915,3.94,18.684,0.5825,2.943,6.27,6.764,3.926,3.954,18.44,18.928,2151446,2477440,2995584,3.1165,0.561,0.6695
small-pattern|false|ReadMostly|random,6.6885,3.682,18.887,0.537,2.9125,6.424,6.881,3.677,3.687,18.725,19.049,2151446,2477440,2995584,3.0965,0.5445,0.658
small-pattern|true|Interactive|stream,6.972,3.255,20.5485,0.4675,2.945,6.852,7.087,3.24,3.27,20.412,20.685,237078,531840,836992,2.946,0.689,0.9345
small-pattern|true|Interactive|random,7.1285,3.5055,20.681,0.4915,2.916,6.921,7.268,3.493,3.518,20.551,20.811,237078,531840,836992,2.9625,0.695,0.9315
small-pattern|true|ReadMostly|stream,7.0405,3.504,20.5955,0.501,2.916,6.879,7.163,3.495,3.513,20.567,20.624,237078,531840,836992,2.971,0.694,0.9345
small-pattern|true|ReadMostly|random,7.0925,3.797,20.766,0.533,2.9345,6.952,7.271,3.791,3.803,20.725,20.807,237078,531840,836992,2.966,0.7,0.9295
1m-pattern|false|Interactive|stream,0.963,8.605,2.819,8.8055,2.95,0.951,0.988,8.576,8.634,2.813,2.825,4194750,4464000,4475264,0.0345,0.164,0.127
1m-pattern|false|Interactive|random,0.9665,8.6585,3.8175,8.6125,4.0055,0.949,1.036,8.463,8.854,3.612,4.023,4194750,4464000,4475264,0.036,0.1705,0.144
1m-pattern|false|Interactive|range,0.104,8.352,0.5345,81.303,5.11,0.101,0.107,8.279,8.425,0.504,0.565,4194750,4464000,4475264,0.0345,0.1585,0.1305
